sample_group,selection_ranker,selection_seed,strategy_id,policy_id,equity_row_count,equity_start_date,equity_end_date,minimum_marked_equity,maximum_marked_equity,mean_daily_return,daily_return_std,daily_sharpe,annualized_geometric_return,minimum_daily_return,maximum_daily_return,mean_position_count,invested_day_fraction,maximum_position_count
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_5d,342,2022-01-04,2023-06-02,76883.15056847518,112113.8756659546,-1.0820756436971295e-05,0.016552600254558115,-0.010377474266114942,-0.036734707956172286,-0.08018563349417696,0.05671060803371741,4.89766081871345,0.97953216374269,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,protect_3pct_target6pct_3d,342,2022-01-04,2023-06-02,62148.58279282645,100967.05784710504,-0.0012356021363435366,0.015488972148816662,-1.2663574861298499,-0.28964189504584015,-0.07327158103395193,0.04596542520620739,4.883040935672515,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,58067.3890050134,100466.36314252601,-0.001185922009057451,0.016356317794566276,-1.1509881684958931,-0.28321169562574655,-0.0756409494307465,0.05441609986341822,4.93859649122807,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,momentum_trail_4pct_5d,342,2022-01-04,2023-06-02,72227.61204357915,102520.11253329298,-0.0005891426272012396,0.014243108125650408,-0.6566227811672412,-0.1598665557407416,-0.05240684419097286,0.040542121114351515,4.912280701754386,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,next_open_1d,342,2022-01-04,2023-06-02,54765.4364281841,100341.107952266,-0.0013879533407847417,0.017219603102995588,-1.279534498831352,-0.32132937438679654,-0.07724094166312245,0.05342732873214895,4.935672514619883,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,next_open_2d,342,2022-01-04,2023-06-02,65150.788021217886,100341.107952266,-0.000922019283587518,0.018457521108211267,-0.7929885212895474,-0.24092054272221586,-0.07684554896715867,0.050031192402905766,4.941520467836257,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,next_open_3d,342,2022-01-04,2023-06-02,78604.9628284281,109603.18664107702,-0.00015269990416175307,0.017388325393087992,-0.13940593904321275,-0.07386809856506493,-0.08003342630791177,0.05900341304824086,4.868421052631579,0.9736842105263158,5
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,next_open_5d,342,2022-01-04,2023-06-02,57790.99382704172,101437.28338919797,-0.0009873241087928672,0.020405025466907357,-0.7681090306466513,-0.26006761845814896,-0.07476119696519612,0.0853907352871599,4.894736842105263,0.97953216374269,5
primary_development_2022_2023_partial,flow_quality,0,s2_first_touch_reclaim,protect_3pct_target6pct_3d,342,2022-01-04,2023-06-02,53991.60065459317,100341.107952266,-0.0013060171930735348,0.017288304689253818,-1.1992141842554511,-0.3073858224352043,-0.07032831461940858,0.05108667759848662,4.935672514619883,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_acceleration,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,45345.02617301517,102525.28788572199,-0.0020799374148212165,0.014659500113437156,-2.252326654911535,-0.42425976188453685,-0.07917816810500089,0.046411678229154374,4.874269005847953,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_acceleration,momentum_trail_4pct_5d,342,2022-01-04,2023-06-02,56174.87203644842,102525.28788572199,-0.0010405781607333918,0.014842413571942712,-1.1129366607449407,-0.2520513149407798,-0.08745823068026981,0.03789649924193639,4.862573099415204,0.97953216374269,5
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_acceleration,next_open_1d,342,2022-01-04,2023-06-02,41560.08959978161,102525.28788572199,-0.0024104667694505116,0.014599266077074551,-2.6210203644000973,-0.4702018390581765,-0.053957296557746726,0.04041264860041727,4.871345029239766,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_acceleration,next_open_2d,342,2022-01-04,2023-06-02,76514.21244061936,102727.917908459,-0.00014674844579232638,0.015440455151838834,-0.15087374913510884,-0.06492026723518829,-0.07207730733942874,0.04710168087055977,4.912280701754386,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_acceleration,next_open_3d,342,2022-01-04,2023-06-02,64554.220013210215,102876.287885722,-0.0004337145502730613,0.016793983250806666,-0.4099685546456491,-0.13499071318350608,-0.07795482550801136,0.05658059272997562,4.921052631578948,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_acceleration,next_open_5d,342,2022-01-04,2023-06-02,87211.76960302707,124686.53398771625,0.0006914792700799402,0.016223482358236195,0.6766052361597493,0.15142156710989552,-0.051262139023195985,0.05625176738756088,4.89766081871345,0.97953216374269,5
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_acceleration,protect_3pct_target6pct_3d,342,2022-01-04,2023-06-02,65061.06504527641,103660.862373502,-0.0009727320852883906,0.014631554962918424,-1.0553658294646568,-0.23844520998998975,-0.06114197719246428,0.05542013786329125,4.909356725146199,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s2_reclaim_breakout_recent,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,47385.22959234479,106737.83894845912,-0.0019096018126862466,0.01789684573615121,-1.6938174158769321,-0.4068486339872248,-0.06174257926611737,0.06866661192745749,4.874269005847953,1.0,5
