sample_group,sample_variant,selection_ranker,selection_seed,strategy_id,policy_id,signal_year,net_return,maximum_drawdown
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,next_open_5d,2023,0.1615742065,-0.1692586916
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,protect_3pct_target6pct_3d,2022,-0.3118150781,-0.3807644763
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,protect_3pct_target6pct_3d,2023,-0.0958096986,-0.4045424365
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,momentum_trail_4pct_5d,2022,-0.3668731386,-0.4046640423
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,momentum_trail_4pct_5d,2023,0.1143992145,-0.3727948288
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,fast_failure_2pct_target4pct_2d,2022,-0.384473613,-0.4195460098
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,fast_failure_2pct_target4pct_2d,2023,-0.1646108459,-0.5145321266
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,next_open_1d,2022,-0.4924952499,-0.5069367968
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,next_open_1d,2023,-0.0577060952,-0.5501266777
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,next_open_2d,2022,0.1456096384,-0.1756649916
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,next_open_2d,2023,-0.0747007487,-0.2697535213
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,next_open_3d,2022,-0.1591155904,-0.283172
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,next_open_3d,2023,-0.0526582591,-0.275800166
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,next_open_5d,2022,0.0168334885,-0.3672523693
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,next_open_5d,2023,0.0440370545,-0.3417970674
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,protect_3pct_target6pct_3d,2022,-0.4852909971,-0.5354463644
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,protect_3pct_target6pct_3d,2023,-0.097758677,-0.5775985338
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,momentum_trail_4pct_5d,2022,-0.5377012708,-0.5526530668
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,momentum_trail_4pct_5d,2023,-0.0892508541,-0.5947427377
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,fast_failure_2pct_target4pct_2d,2022,-0.5372254811,-0.5523376104
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_breakout_recent,fast_failure_2pct_target4pct_2d,2023,-0.1114117999,-0.6129306057
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_bull_stack,next_open_1d,2022,-0.5115135536,-0.5257508715
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_bull_stack,next_open_1d,2023,-0.0116985226,-0.5412552892
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_bull_stack,next_open_2d,2022,-0.1498388676,-0.2741362259
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_bull_stack,next_open_2d,2023,-0.0048564686,-0.2955113564
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_bull_stack,next_open_3d,2022,-0.4959350728,-0.5638509272
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_bull_stack,next_open_3d,2023,-0.0904438893,-0.6034081886
