event,year,period,path_target,rows,dates,hit_rate,date_equal_hit_rate,hac_se_date_equal,hac_lcb_date_equal,median_up5_day,median_up10_day
rebreakout20,2019,development_2012_2020,up5_before_down3,722,173,0.4099722991689751,0.37404144980151266,0.04157113999014588,0.2925620154208267,5.0,8.0
rebreakout20,2019,development_2012_2020,up10_before_down5,722,173,0.3587257617728532,0.3003099412341812,0.04595252082427565,0.21024300041860092,5.0,8.0
climax_fade,2019,development_2012_2020,up5_before_down3,253,125,0.3794466403162055,0.40449523809523813,0.038998523963479956,0.3280581311268174,3.0,6.0
climax_fade,2019,development_2012_2020,up10_before_down5,253,125,0.33992094861660077,0.3623047619047619,0.04621956918162549,0.27171440630877597,3.0,6.0
participation_shock,2020,development_2012_2020,up5_before_down3,93885,242,0.3947062896096288,0.37683539339611427,0.018352875276118636,0.34086375785492173,3.0,6.0
participation_shock,2020,development_2012_2020,up10_before_down5,93885,242,0.32598391649358255,0.31876049421299135,0.023414556907547738,0.2728679626741978,3.0,6.0
positive_participation_shock,2020,development_2012_2020,up5_before_down3,33485,242,0.3839331043750933,0.36633891239180155,0.017252793339769867,0.3325234374458526,3.0,5.0
positive_participation_shock,2020,development_2012_2020,up10_before_down5,33485,242,0.32984918620277737,0.32182773203728543,0.021973584859685952,0.27875950571230096,3.0,5.0
range_expansion,2020,development_2012_2020,up5_before_down3,59135,242,0.4079479157859136,0.3800217255356195,0.0195245122683756,0.34175368148960333,4.0,6.0
range_expansion,2020,development_2012_2020,up10_before_down5,59135,242,0.3474084721400186,0.3270823833626283,0.024421321504533494,0.27921659321374265,4.0,6.0
breakout20,2020,development_2012_2020,up5_before_down3,37294,242,0.3874081621708586,0.3853731827483137,0.016297446647471164,0.35343018731927023,3.0,5.0
breakout20,2020,development_2012_2020,up10_before_down5,37294,242,0.33249316243899824,0.34538584015318197,0.020387854680907036,0.3054256449786042,3.0,5.0
breakout60,2020,development_2012_2020,up5_before_down3,21263,242,0.4002257442505761,0.40802686558695755,0.016312908515404147,0.37605356489676545,3.0,4.0
breakout60,2020,development_2012_2020,up10_before_down5,21263,242,0.3599680195645017,0.37839803999812677,0.019823072572544852,0.33954481775593887,3.0,4.0
breakout_confirmed,2020,development_2012_2020,up5_before_down3,18760,242,0.3693496801705757,0.3543244340384503,0.01658307086173242,0.3218216151494548,3.0,5.0
breakout_confirmed,2020,development_2012_2020,up10_before_down5,18760,242,0.3198827292110874,0.31939315597694234,0.020589845084557218,0.27903705961121017,3.0,5.0
retest20,2020,development_2012_2020,up5_before_down3,1764,214,0.3656462585034014,0.4065461645714598,0.022450866072888435,0.3625424670685985,4.0,7.0
retest20,2020,development_2012_2020,up10_before_down5,1764,214,0.32936507936507936,0.36268990359442327,0.028413475245784584,0.3069994921126855,4.0,7.0
rebreakout20,2020,development_2012_2020,up5_before_down3,730,200,0.4041095890410959,0.4442791305916306,0.030049375269553775,0.3853823550633052,3.0,6.0
rebreakout20,2020,development_2012_2020,up10_before_down5,730,200,0.336986301369863,0.375574044011544,0.032999231065282186,0.3108955511235909,3.0,6.0
climax_fade,2020,development_2012_2020,up5_before_down3,209,121,0.45933014354066987,0.44802571166207533,0.04224362388310388,0.3652282088511917,3.0,4.0
climax_fade,2020,development_2012_2020,up10_before_down5,209,121,0.430622009569378,0.3906795224977043,0.054296344476554445,0.2842586873236576,3.0,4.0
participation_shock,2021,validation_2021_2022,up5_before_down3,96489,243,0.4122853382250827,0.4095719591048848,0.014665433319967334,0.3808277097977488,4.0,6.0
participation_shock,2021,validation_2021_2022,up10_before_down5,96489,243,0.3511902911212677,0.35092142862888137,0.01426714418568825,0.3229578260249324,4.0,6.0
positive_participation_shock,2021,validation_2021_2022,up5_before_down3,34108,243,0.38765099096986044,0.3878576376973285,0.012107364033714796,0.3641272041912475,4.0,6.0
positive_participation_shock,2021,validation_2021_2022,up10_before_down5,34108,243,0.3423243813768031,0.3443736899624991,0.011868791738036275,0.32111085815594803,4.0,6.0
range_expansion,2021,validation_2021_2022,up5_before_down3,60208,243,0.40489635928780227,0.3975495221371239,0.013431225034966169,0.3712243210685902,4.0,7.0
range_expansion,2021,validation_2021_2022,up10_before_down5,60208,243,0.34123372309327665,0.33919849218917253,0.012212326298841428,0.31526233264344333,4.0,7.0
breakout20,2021,validation_2021_2022,up5_before_down3,39413,243,0.3891863090858346,0.3919302389225062,0.010019275151423939,0.37229245962571533,3.0,6.0
breakout20,2021,validation_2021_2022,up10_before_down5,39413,243,0.3400654606348159,0.346288414517046,0.010451971298448565,0.3258025507720868,3.0,6.0
breakout60,2021,validation_2021_2022,up5_before_down3,20824,243,0.3821552055320784,0.3899357334572943,0.007812820449882978,0.37462260537552367,3.0,5.0
breakout60,2021,validation_2021_2022,up10_before_down5,20824,243,0.3464271993853246,0.3542489784346304,0.009739468007015105,0.33515962114088077,3.0,5.0
breakout_confirmed,2021,validation_2021_2022,up5_before_down3,19751,243,0.3846387524682295,0.3855991760857536,0.010983196111888657,0.3640721117064519,3.0,6.0
breakout_confirmed,2021,validation_2021_2022,up10_before_down5,19751,243,0.33851450559465346,0.3415533960908819,0.011425281410432279,0.31915984452643464,3.0,6.0
retest20,2021,validation_2021_2022,up5_before_down3,1639,229,0.35509456985967053,0.32778947272015696,0.02425040773027458,0.2802586735688188,4.0,7.0
retest20,2021,validation_2021_2022,up10_before_down5,1639,229,0.29591214154972545,0.2943279754770881,0.01804272531461599,0.25896423386044076,4.0,7.0
rebreakout20,2021,validation_2021_2022,up5_before_down3,739,217,0.395128552097429,0.40644051785689084,0.023205653589521567,0.36095743682142856,3.0,5.0
rebreakout20,2021,validation_2021_2022,up10_before_down5,739,217,0.34641407307171856,0.37156228293257304,0.02139969598808081,0.32961887879593466,3.0,5.0
climax_fade,2021,validation_2021_2022,up5_before_down3,255,146,0.403921568627451,0.37749066002490655,0.03547840626914891,0.3079529837373747,3.0,6.0
climax_fade,2021,validation_2021_2022,up10_before_down5,255,146,0.34901960784313724,0.33354088833540885,0.030263574307135246,0.27422428269342375,3.0,6.0
participation_shock,2022,validation_2021_2022,up5_before_down3,87714,242,0.3667373509359965,0.36815987896912017,0.016650561219830787,0.33552477897825184,3.0,6.0
participation_shock,2022,validation_2021_2022,up10_before_down5,87714,242,0.30686093440043777,0.3117904693084844,0.019323105129357452,0.2739171832549438,3.0,6.0
positive_participation_shock,2022,validation_2021_2022,up5_before_down3,29573,242,0.34578838805667333,0.34913024206935533,0.014480493978725233,0.3207484738710539,3.0,5.0
